Year,ID Geography,Geography,Average Income,Population
"2021","04000US01","Alabama",30292.37659191524,4997675
"2021","04000US02","Alaska",39099.6187517919,735951
"2021","04000US04","Arizona",34501.525150783214,7079203
"2021","04000US05","Arkansas",28941.844884925373,3006309
"2021","04000US06","California",41181.09523298398,39455353
"2021","04000US08","Colorado",42839.014958128144,5723176
"2021","04000US09","Connecticut",47800.641401480585,3605330
"2021","04000US10","Delaware",38726.52089639186,981892
"2021","04000US11","District of Columbia",64268.14508002588,683154
"2021","04000US12","Florida",35049.31394829989,21339762
"2021","04000US13","Georgia",34424.66652443176,10625615
"2021","04000US15","Hawaii",38908.44364698128,1453498
"2021","04000US16","Idaho",31577.720262064224,1811617
"2021","04000US17","Illinois",39446.22959763958,12821813
"2021","04000US18","Indiana",32393.041035409267,6751340
"2021","04000US19","Iowa",34794.85317873983,3179090
"2021","04000US20","Kansas",34634.26290040002,2932099
"2021","04000US21","Kentucky",30463.40422340999,4494141
"2021","04000US22","Louisiana",30142.721251882795,4657305
"2021","04000US23","Maine",35816.887209424,1357046
"2021","04000US24","Maryland",45938.76897509899,6148545
"2021","04000US25","Massachusetts",48471.49209694596,6991852
"2021","04000US26","Michigan",34619.620185496424,10062512
"2021","04000US27","Minnesota",41105.739007264296,5670472
"2021","04000US28","Mississippi",26645.51177122658,2967023
"2021","04000US29","Missouri",33664.16769230619,6141534
"2021","04000US30","Montana",34243.369033505325,1077978
"2021","04000US31","Nebraska",35023.606255764855,1951480
"2021","04000US32","Nevada",34619.422023392755,3059238
"2021","04000US33","New Hampshire",43537.59459660364,1372175
"2021","04000US34","New Jersey",46680.957135047516,9234024
"2021","04000US35","New Mexico",29471.826116472912,2109366
"2021","04000US36","New York",43011.52069051832,20114745
"2021","04000US37","North Carolina",34029.59036736818,10367022
"2021","04000US38","North Dakota",37536.33765051517,773344
"2021","04000US39","Ohio",34522.69472688989,11769923
"2021","04000US40","Oklahoma",30818.717669300146,3948136
"2021","04000US41","Oregon",37785.03549719919,4207177
"2021","04000US42","Pennsylvania",37588.138404166326,12970650
"2021","04000US44","Rhode Island",39495.01143368417,1091949
"2021","04000US45","South Carolina",32598.402244259305,5078903
"2021","04000US46","South Dakota",33437.37619487743,881785
"2021","04000US47","Tennessee",32800.92565621065,6859497
"2021","04000US48","Texas",34190.11642347578,28862581
"2021","04000US49","Utah",33248.05555538363,3231370
"2021","04000US50","Vermont",37130.323594181755,641637
"2021","04000US51","Virginia",43141.38722856182,8582479
"2021","04000US53","Washington",43735.60562105211,7617364
"2021","04000US54","West Virginia",28799.29776036077,1801049
"2021","04000US55","Wisconsin",36686.59431394285,5871661
"2021","04000US56","Wyoming",36257.43235045722,576641
"2021","04000US72","Puerto Rico",14116.538869329448,3311274
"2020","04000US01","Alabama",28799.847598681106,4893186
"2020","04000US02","Alaska",37177.11760539492,736990
"2020","04000US04","Arizona",32026.752796183584,7174064
"2020","04000US05","Arkansas",27403.62936684249,3011873
"2020","04000US06","California",38387.10742175899,39346023
"2020","04000US08","Colorado",39459.53749547488,5684926
"2020","04000US09","Connecticut",45421.3907653977,3570549
"2020","04000US10","Delaware",36443.74559745535,967679
"2020","04000US11","District of Columbia",58391.43617284971,701974
"2020","04000US12","Florida",32564.259129740014,21216924
"2020","04000US13","Georgia",32284.798317019253,10516579
"2020","04000US15","Hawaii",36881.61765091115,1420074
"2020","04000US16","Idaho",29398.8155317559,1754367
"2020","04000US17","Illinois",37212.61934778444,12716164
"2020","04000US18","Indiana",30593.854701277145,6696893
"2020","04000US19","Iowa",33033.54470317723,3150011
"2020","04000US20","Kansas",32595.827367740167,2912619
"2020","04000US21","Kentucky",28924.592443845206,4461952
"2020","04000US22","Louisiana",29174.48929729693,4664616
"2020","04000US23","Maine",33472.44509909944,1340825
"2020","04000US24","Maryland",43214.104451684965,6037624
"2020","04000US25","Massachusetts",45448.2872416254,6873003
"2020","04000US26","Michigan",32715.19420744549,9973907
"2020","04000US27","Minnesota",38748.20800954829,5600166
"2020","04000US28","Mississippi",25375.89883276573,2981835
"2020","04000US29","Missouri",31729.23231267635,6124160
"2020","04000US30","Montana",32052.601880936796,1061705
"2020","04000US31","Nebraska",33085.76252530114,1923826
"2020","04000US32","Nevada",32594.597118881054,3030281
"2020","04000US33","New Hampshire",40896.24032472645,1355244
"2020","04000US34","New Jersey",44075.68453932049,8885418
"2020","04000US35","New Mexico",27750.23734335517,2097021
"2020","04000US36","New York",40593.61474003719,19514849
"2020","04000US37","North Carolina",31820.84692737796,10386227
"2020","04000US38","North Dakota",36265.73634194904,760394
"2020","04000US39","Ohio",32493.827410146656,11675275
"2020","04000US40","Oklahoma",29426.584013235624,3949342
"2020","04000US41","Oregon",35337.615142040435,4176346
"2020","04000US42","Pennsylvania",35369.753925259974,12794885
"2020","04000US44","Rhode Island",37268.93865180309,1057798
"2020","04000US45","South Carolina",30566.45018920687,5091517
"2020","04000US46","South Dakota",31466.104788158336,879336
"2020","04000US47","Tennessee",30713.62399243503,6772268
"2020","04000US48","Texas",32059.88569605456,28635442
"2020","04000US49","Utah",30803.641879273517,3151239
"2020","04000US50","Vermont",35398.22061056476,624340
"2020","04000US51","Virginia",40679.770103455514,8509358
"2020","04000US53","Washington",40715.56266658148,7512465
"2020","04000US54","West Virginia",27329.86430869092,1807426
"2020","04000US55","Wisconsin",34385.51150917647,5806975
"2020","04000US56","Wyoming",34088.035393602455,581348
"2020","04000US72","Puerto Rico",13366.674574577126,3255642
"2019","04000US01","Alabama",27755.88870299923,4876250
"2019","04000US02","Alaska",36449.34187890398,737068
"2019","04000US04","Arizona",30577.16633691706,7050299
"2019","04000US05","Arkansas",26449.917576024298,2999370
"2019","04000US06","California",36850.27492944429,39283497
"2019","04000US08","Colorado",38137.172982286844,5610349
"2019","04000US09","Connecticut",44323.448714068574,3575074
"2019","04000US10","Delaware",35431.47743531457,957248
"2019","04000US11","District of Columbia",56176.04663605141,692683
"2019","04000US12","Florida",31444.37361668723,20901636
"2019","04000US13","Georgia",30990.17442451816,10403847
"2019","04000US15","Hawaii",35517.22513982901,1422094
"2019","04000US16","Idaho",27916.523768883715,1717750
"2019","04000US17","Illinois",35916.65163358021,12770631
"2019","04000US18","Indiana",29732.612012266374,6665703
"2019","04000US19","Iowa",32234.917297869604,3139508
"2019","04000US20","Kansas",31682.912908860282,2910652
"2019","04000US21","Kentucky",28083.933961661944,4449052
"2019","04000US22","Louisiana",27810.05562089735,4664362
"2019","04000US23","Maine",32389.156835084,1335492
"2019","04000US24","Maryland",42029.421220805045,6018848
"2019","04000US25","Massachusetts",43633.34419607589,6850553
"2019","04000US26","Michigan",31575.98348583806,9965265
"2019","04000US27","Minnesota",37675.854058451536,5563378
"2019","04000US28","Mississippi",24389.562030519854,2984418
"2019","04000US29","Missouri",30900.118636310774,6104910
"2019","04000US30","Montana",31022.893377331537,1050649
"2019","04000US31","Nebraska",32089.184578686294,1914571
"2019","04000US32","Nevada",31378.460378242096,2972382
"2019","04000US33","New Hampshire",39798.494651381014,1348124
"2019","04000US34","New Jersey",42697.289313750305,8878503
"2019","04000US35","New Mexico",26934.243830449795,2092454
"2019","04000US36","New York",39248.30882881073,19572319
"2019","04000US37","North Carolina",30661.140586988095,10264876
"2019","04000US38","North Dakota",36053.76585434185,756717
"2019","04000US39","Ohio",31590.59069648164,11655397
"2019","04000US40","Oklahoma",28423.85313931048,3932870
"2019","04000US41","Oregon",33724.28805538666,4129803
"2019","04000US42","Pennsylvania",34245.61392483933,12791530
"2019","04000US44","Rhode Island",35996.00045023273,1057231
"2019","04000US45","South Carolina",29315.3946167209,5020806
"2019","04000US46","South Dakota",30650.626028268925,870638
"2019","04000US47","Tennessee",29735.313774973336,6709356
"2019","04000US48","Texas",31148.444855598147,28260856
"2019","04000US49","Utah",29651.81605038413,3096848
"2019","04000US50","Vermont",34848.06268650501,624313
"2019","04000US51","Virginia",39235.12419322197,8454463
"2019","04000US53","Washington",38841.69824342085,7404107
"2019","04000US54","West Virginia",26487.109049939332,1817305
"2019","04000US55","Wisconsin",33337.60039345739,5790716
"2019","04000US56","Wyoming",33246.33100181748,581024
"2019","04000US72","Puerto Rico",12912.887701720805,3318447
"2018","04000US01","Alabama",26757.241162008602,4864680
"2018","04000US02","Alaska",35719.59629310672,738516
"2018","04000US04","Arizona",29178.27900473391,6946685
"2018","04000US05","Arkansas",25485.699646667923,2990671
"2018","04000US06","California",34885.62478913764,39148760
"2018","04000US08","Colorado",36317.88478507418,5531141
"2018","04000US09","Connecticut",42925.75300655814,3581504
"2018","04000US10","Delaware",33896.084027825316,949495
"2018","04000US11","District of Columbia",53374.063819032344,684498
"2018","04000US12","Florida",30032.361347595528,20598139
"2018","04000US13","Georgia",29441.17490447181,10297484
"2018","04000US15","Hawaii",33975.704878029916,1422029
"2018","04000US16","Idaho",26721.634402944885,1687809
"2018","04000US17","Illinois",34321.001406933996,12821497
"2018","04000US18","Indiana",28505.259006126773,6637426
"2018","04000US19","Iowa",31160.803619091337,3132499
"2018","04000US20","Kansas",30711.82989958663,2908776
"2018","04000US21","Kentucky",26912.090547191074,4440204
"2018","04000US22","Louisiana",26982.139675307742,4663616
"2018","04000US23","Maine",31191.961975160808,1332813
"2018","04000US24","Maryland",40475.487111628594,6003435
"2018","04000US25","Massachusetts",41754.35357999921,6830193
"2018","04000US26","Michigan",30175.621096405037,9957488
"2018","04000US27","Minnesota",36173.39258285785,5527358
"2018","04000US28","Mississippi",23437.462526624735,2988762
"2018","04000US29","Missouri",29680.36305705919,6090062
"2018","04000US30","Montana",29734.129730103326,1041732
"2018","04000US31","Nebraska",30882.733833133832,1904760
"2018","04000US32","Nevada",29855.547301964623,2922849
"2018","04000US33","New Hampshire",38373.67148058505,1343622
