ID State,State,ID Year,Year,ID Industry Group,Industry Group,ID Workforce Status,Workforce Status,Total Population,Slug State
"04000US72","Puerto Rico",2020,"2020","4411","Car Dealers","true","true",6720,"puerto-rico"
"04000US01","Alabama",2020,"2020","4411","Car Dealers","true","true",19343,"alabama"
"04000US02","Alaska",2020,"2020","4411","Car Dealers","true","true",2241,"alaska"
"04000US04","Arizona",2020,"2020","4411","Car Dealers","true","true",29923,"arizona"
"04000US05","Arkansas",2020,"2020","4411","Car Dealers","true","true",11098,"arkansas"
"04000US06","California",2020,"2020","4411","Car Dealers","true","true",126539,"california"
"04000US08","Colorado",2020,"2020","4411","Car Dealers","true","true",20966,"colorado"
"04000US09","Connecticut",2020,"2020","4411","Car Dealers","true","true",14914,"connecticut"
"04000US10","Delaware",2020,"2020","4411","Car Dealers","true","true",5311,"delaware"
"04000US11","District of Columbia",2020,"2020","4411","Car Dealers","true","true",379,"district-of-columbia"
"04000US12","Florida",2020,"2020","4411","Car Dealers","true","true",94414,"florida"
"04000US13","Georgia",2020,"2020","4411","Car Dealers","true","true",40438,"georgia"
"04000US15","Hawaii",2020,"2020","4411","Car Dealers","true","true",4733,"hawaii"
"04000US16","Idaho",2020,"2020","4411","Car Dealers","true","true",7895,"idaho"
"04000US17","Illinois",2020,"2020","4411","Car Dealers","true","true",47619,"illinois"
"04000US18","Indiana",2020,"2020","4411","Car Dealers","true","true",28010,"indiana"
"04000US19","Iowa",2020,"2020","4411","Car Dealers","true","true",14362,"iowa"
"04000US20","Kansas",2020,"2020","4411","Car Dealers","true","true",11607,"kansas"
"04000US21","Kentucky",2020,"2020","4411","Car Dealers","true","true",16806,"kentucky"
"04000US22","Louisiana",2020,"2020","4411","Car Dealers","true","true",18003,"louisiana"
"04000US23","Maine",2020,"2020","4411","Car Dealers","true","true",6091,"maine"
"04000US24","Maryland",2020,"2020","4411","Car Dealers","true","true",23076,"maryland"
"04000US25","Massachusetts",2020,"2020","4411","Car Dealers","true","true",23777,"massachusetts"
"04000US26","Michigan",2020,"2020","4411","Car Dealers","true","true",40922,"michigan"
"04000US27","Minnesota",2020,"2020","4411","Car Dealers","true","true",21151,"minnesota"
"04000US28","Mississippi",2020,"2020","4411","Car Dealers","true","true",10845,"mississippi"
"04000US29","Missouri",2020,"2020","4411","Car Dealers","true","true",25277,"missouri"
"04000US30","Montana",2020,"2020","4411","Car Dealers","true","true",4665,"montana"
"04000US31","Nebraska",2020,"2020","4411","Car Dealers","true","true",8421,"nebraska"
"04000US32","Nevada",2020,"2020","4411","Car Dealers","true","true",10908,"nevada"
"04000US33","New Hampshire",2020,"2020","4411","Car Dealers","true","true",8151,"new-hampshire"
